"","FN1","LV2","FV3","LV3","LV1","LN3","FV2","LN1","FN3","FN2","HF.1","HF.7","HF.8","HF.10","HF.13","HF.14","HF.15"
"ACTB",21034.06,14912.17,9302.87,10043.44,8218.52,10441.26,14573.6,15934.32,11785.45,20839.31,10266.52,13795.23,10520,29408.11,22421.22,7217.07,11894.75
"ALB",357295.28,356541.78,373455.09,306361.88,248938.47,338504.72,362838.22,340041.5,369150.56,527619.31,426647.03,453317.81,451739.75,496762.5,482087.75,421490.28,432157
"ATG12",515.13,391.2,212.26,262.2,333.11,317.07,379.7,570.12,338.09,661.24,431.46,548.17,279.16,793.52,569.63,511.71,428.29
"ATG16L1",102.64,78.24,66.82,51.3,58.7,59.84,79.57,121.36,138.93,158.29,236.35,140.66,88.86,200.47,164.04,151.58,105.55
"ATG5",471.55,586.8,318.39,317.78,452.56,406.31,499.55,548.49,515.87,860.38,357.04,609.19,362.63,890.18,798.83,328.27,533.84
"ATP5ME",6652.12,6216.24,3879.69,4416.09,4519.5,5002.78,5785.12,7163.25,6810.32,9408,5117.17,9341.62,4854.28,12153.44,10146.63,5505.25,8049.25
"ATP5MF",3360.92,3036.19,1844.85,1669.39,1825.28,2354.93,2937.88,3030.31,3086.5,4867.4,1725.84,3873.38,2273.65,5441.31,4599.74,1298.59,3814.03
"BCL2",152.02,114.84,115.3,99.75,88.06,93.44,126.9,131.71,133.1,186.37,146.84,155.14,124.77,199.28,182.01,125.51,150.21
"BCL2L11",231.42,53,33,40,40,36,43,56.45,58.29,102.12,102.58,104.46,40,81.14,170.78,67.58,89.31
"CCL2",289.52,34,33,40.61,55.29,44.1,43,55,48.58,80.42,145.83,145.83,103.23,108.59,408.97,41.52,65.97
"CCL4",36,34,33,40,40,36,43,55,37,38,33,58,40,46,46,41,40
"CCL5",60.03,53,33,40,43.69,117.59,45.32,187.22,110.75,256.58,48.28,58,40,46,46,69.52,55.82
"COX17",1391.43,1438.59,580.45,773.07,848.47,856.72,1284.13,1003.83,1344.58,1685.02,1075.13,1324.91,823.11,2042.88,1532.5,984.8,1278.79
"COX6B1",3969.97,3465.25,2000.77,2406.83,2367.26,2733.94,3225.93,3954.18,3365.33,5284.82,3252.54,4095.75,2575.25,6156.07,5042.42,2745.86,4212.89
"COX7B",6090.51,4968.2,2442.33,2411.11,3012.32,3732.4,4113.24,4117.88,4744.88,7319.61,3831.84,6582.16,3680.2,11349.18,8302.91,4500.17,6955.18
"CPD",1121.27,933.82,500.52,967.58,728.34,369.57,1263.98,608.7,431.35,1055.69,452.58,848.11,669.62,2882.94,1041.52,596.68,1909.05
