,libraryID,liverID,HF,macro,male,micro,alactate.3H,time,group,liver,liverweight,PVp,PVf,HAp,HAf,bicarbadded,HAr,PVr,macro,aph,aco2,ao2,ahco3,abe,alactate,vph,vco2,vo2,vhco3,vbe,vlactate,Na,K,Ca,Cl,Glu,BUN,Cr,AG,AST,ALT,Alb,Alp,Dbil,Tbil,TP,VLDL,Trig,HDL,LDL,Chol,bilevol,bilepH,bilehco3,bilelactate,bilegluc,hct,hb,wbc,plt,AMP,ADP,ATP,NAD,NADH,NADP,NADPH,FAD,atpadp,atpamp,ec,nadhnad
1,NA,NA,1,,,,4.08,0,0,1,2.958,5,NA,30,NA,120,NA,NA,40,7.396,127.8,800,78.5,30,19.24,NA,NA,NA,NA,NA,NA,169,8.4,2.13,109,95,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,14.4,5.3,64,64.22740855,6.721901058,1.098417584,16.90230364,9.871247679,5.447574012,0.227895656,0.363953671,0.163409,0.017102,0.06189464,0.584018
2,NA,NA,1,,,,4.08,0.5,0,1,NA,7,550,60,293,30,0.204778157,0.012727273,NA,7.071,100.3,606,29.1,-1,17.72,7.059,110.7,57,31.3,1,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
3,NA,NA,1,,,,4.08,1,0,1,NA,8,750,60,420,20,0.142857143,0.010666667,NA,7.137,115.3,477,38.9,10,13.61,7.103,116.3,66,36.4,7,13.32,NA,NA,NA,NA,NA,NA,NA,NA,7795,8100,NA,70,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
4,NA,NA,1,,,,4.08,1.5,0,1,NA,10,950,70,489,20,0.143149284,0.010526316,NA,7.191,129.2,552,49.5,21,5.98,7.183,125.4,58,47.1,19,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
5,NA,NA,1,,,,4.08,2,0,1,NA,10,1000,70,481,0,0.145530146,0.01,NA,7.499,105,563,81.7,30,2.55,7.32,110.9,52,57.2,30,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
6,NA,NA,1,,,,4.08,3,0,1,NA,10,1160,70,465,0,0.150537634,0.00862069,NA,7.535,64.3,537,54.5,30,4.08,7.46,76.1,54,54.1,30,2.33,158,9,0.36,90,700,87,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
7,NA,NA,1,,,,4.08,4,0,1,NA,10,1170,70,460,0,0.152173913,0.008547009,NA,7.555,60.1,570,53.3,30,2.36,7.429,72.6,59,48,24,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7.604,50.2,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
8,NA,NA,1,,,,4.08,6,0,1,NA,10,1250,70,507,0,0.138067061,0.008,NA,7.386,92.5,549,55.5,30,1.43,7.281,109.2,67,51.5,25,1.26,149,9,0.55,87,700,91,1.3,NA,9780,9660,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.96190775,15.97438546,13.47866609,27.54617138,1.099614731,9.18147502,0.049219382,0.739162066,0.843767,0.499915,0.380499412,0.039919
9,NA,NA,1,,,,4.08,9,0,1,NA,10,1270,70,536,0,0.130597015,0.007874016,NA,7.323,99.4,532,51.6,26,1.06,7.212,123.2,69,49.5,22,0.84,149,9,0.61,91,700,115,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,7.536,54.6,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
10,NA,NA,1,,,,4.08,12,0,1,NA,10,1310,70,520,NA,0.134615385,0.007633588,NA,7.19,123.2,517,47.1,19,0.58,7.17,126,68,45.9,17,0.56,151,9,0.5,95,700,140,1.5,NA,14360,12080,NA,60,2,4,NA,NA,NA,NA,NA,NA,6,8.2,NA,1.69,NA,28,8.6,3.3,43,40.64872803,15.84283573,7.384609353,23.77897595,6.092390336,8.706287837,0.02592699,0.584308885,0.466117,0.181669,0.239620291,0.256209
