"","x"
"1","ABCB1"
"2","ABCC1"
"3","ADH1A"
"4","ADH1C"
"5","ADH4"
"6","ADH5"
"7","ADH6"
"8","AHR"
"9","ALAD"
"10","ALDH3A1"
"11","ALDH3B1"
"12","ALOX12"
"13","ALOX15"
"14","ALOX5"
"15","AOC1"
"16","AOX1"
"17","ARNT"
"18","ASNA1"
"19","BLVRA"
"20","BLVRB"
"21","CES2"
"22","CES3"
"23","CHST1"
"24","COMT"
"25","CYB5R3"
"26","CYP11B2"
"27","CYP19A1"
"28","CYP1A1"
"29","CYP1A2"
"30","CYP2B6"
"31","CYP2C19"
"32","CYP2C8"
"33","CYP2C9"
"34","CYP2D6"
"35","CYP2F1"
"36","CYP2J2"
"37","CYP3A5"
"38","FAAH"
"39","FBP1"
"40","FMO1"
"41","FMO2"
"42","GAD1"
"43","GAD2"
"44","GCKR"
"45","GPI"
"46","GPX1"
"47","GPX2"
"48","GPX4"
"49","GPX5"
"50","GSR"
"51","GSTA2"
"52","GSTA3"
"53","GSTA4"
"54","GSTK1"
"55","GSTM1"
"56","GSTM2"
"57","GSTM3"
"58","GSTM5"
"59","GSTO1"
"60","GSTO2"
"61","GSTT1"
"62","GSTZ1"
"63","HK2"
"64","HPGDS"
"65","HSD17B1"
"66","HSD17B2"
"67","HSD17B3"
"68","LPO"
"69","MAOA"
"70","MAOB"
"71","MGST1"
"72","MGST2"
"73","MGST3"
"74","MT2A"
"75","MT3"
"76","MTHFR"
"77","NAT1"
"78","NAT2"
"79","NOS3"
"80","NQO1"
"81","PKLR"
"82","PKM"
"83","PON1"
"84","PON2"
"85","PON3"
"86","SNN"
"87","SRD5A1"
"88","SRD5A2"
"89","UGT2A1"
"90","UGT2B17"
"91","ABCF1"
"92","GUSB"
"93","HPRT1"
"94","LDHA"
"95","POLR1B"
"96","RPLP0"
"97","ABCA1"
"98","ACACA"
"99","ACADL"
"100","ACLY"
"101","ACOX1"
"102","ACSL5"
"103","ACSM3"
"104","ADIPOQ"
"105","ADIPOR1"
"106","ADIPOR2"
"107","AKT1"
"108","ATP5C1"
"109","CASP3"
"110","CD36"
"111","CEBPB"
"112","CNBP"
"113","CPT1A"
"114","CPT2"
"115","CYC1"
"116","CYP7A1"
"117","DGAT2"
"118","FABP3"
"119","FABP5"
"120","FAS"
"121","FASLG"
"122","FASN"
"123","FOXA2"
"124","FOXO1"
"125","G6PC"
"126","G6PD"
"127","GCK"
"128","GK"
"129","GSK3B"
"130","HMGCR"
"131","HNF4A"
"132","IFNG"
"133","IGF1"
"134","IGFBP1"
"135","IL10"
"136","IL1B"
"137","IL6"
"138","INSR"
"139","IRS1"
"140","IRS2"
"141","LDLR"
"142","LEP"
"143","LEPR"
"144","LPL"
"145","MAPK1"
"146","MAPK8"
"147","MLXIPL"
"148","MTOR"
"149","NDUFA13"
"150","NDUFB1"
"151","NDUFB6"
"152","NDUFS1"
"153","NDUFS2"
"154","NDUFV1"
"155","NDUFV2"
"156","NFKB1"
"157","NR1H2"
"158","NR1H3"
"159","NR1H4"
"160","PCK2"
"161","PDK4"
"162","PIK3CA"
"163","PIK3R1"
"164","PKLR"
"165","PNPLA3"
"166","PPA1"
"167","PPARA"
"168","PPARG"
"169","PPARGC1A"
"170","PRKAA1"
"171","PTPN1"
"172","RXRA"
"173","SDHA"
"174","SDHB"
"175","SERPINE1"
"176","SLC27A5"
"177","SLC2A1"
"178","SLC2A2"
"179","SLC2A4"
"180","SOCS3"
"181","SREBF1"
"182","SREBF2"
"183","STAT3"
"184","TNF"
"185","UQCRC1"
"186","UQCRFS1"
"187","ABCF1"
"188","GUSB"
"189","HPRT1"
"190","LDHA"
"191","POLR1B"
"192","RPLP0"
"193","ACADSB"
"194","ALDH3A2"
"195","BAG1"
"196","CANX"
"197","CAT"
"198","CCS"
"199","CCT2"
"200","CCT3"
"201","CCT4"
"202","CCT5"
"203","CCT7"
"204","CCT8"
"205","CRYAA"
"206","CYBB"
"207","CYCS"
"208","CYP11B2"
"209","CYP1A1"
"210","CYP1A2"
"211","CYP1B1"
"212","CYP2C19"
"213","CYP2C9"
"214","CYP2D6"
"215","CYP2F1"
"216","CYP4A11"
"217","CYP4B1"
"218","CYP7A1"
"219","CYP7B1"
"220","DNAJA1"
"221","DNAJA2"
"222","DNAJA3"
"223","DNAJA4"
"224","DNAJB1"
"225","DNAJB11"
"226","DNAJB12"
"227","DNAJB2"
"228","DNAJB4"
"229","DNAJB5"
"230","DNAJB6"
"231","DNAJB9"
"232","DNAJC1"
"233","DNAJC4"
"234","DNAJC5"
"235","DNAJC6"
"236","DNAJC7"
"237","DNAJC8"
"238","DNAJC9"
"239","EPHX2"
"240","ERO1A"
"241","FMO1"
"242","FMO4"
"243","FMO5"
"244","GPX1"
"245","GPX2"
"246","GPX5"
"247","GSR"
"248","GSTA5"
"249","GSTM5"
"250","HMOX1"
"251","HMOX2"
"252","HOPX"
"253","HSPA12A"
"254","HSPA1L"
"255","HSPA2"
"256","HSPA4"
"257","HSPA5"
"258","HSPA9"
"259","HSPB2"
"260","HSPB3"
"261","HSPE1"
"262","HYAL1"
"263","NOX4"
"264","NOX5"
"265","NUDT2"
"266","PLK3"
"267","PPARGC1A"
"268","PPID"
"269","PRDX1"
"270","PRDX2"
"271","PRDX3"
"272","PTPRN"
"273","SERPINH1"
"274","SOD1"
"275","SOD3"
"276","ST13"
"277","TCP1"
"278","TXN"
"279","TXN2"
"280","TXNRD1"
"281","TXNRD2"
"282","XDH"
"283","ABCF1"
"284","GUSB"
"285","HPRT1"
"286","LDHA"
"287","POLR1B"
"288","RPLP0"
"289","Glrx2"
"290","Gpr156"
"291","Gpx6"
"292","Zdhhc21"
"293","Ccs"
"294","Rnf7"
"295","Gpx5"
"296","Krt1"
"297","Grin2d"
"298","Gpx4"
"299","Prdx6"
"300","Sgk2"
"301","Ncf1"
"302","Vegfa"
"303","Ncf2"
"304","Prex1"
"305","Atox1"
"306","Pnkp"
"307","Gch1"
"308","Epx"
"309","Dhfr"
"310","Ddah2"
"311","Oxr1"
"312","Pts"
"313","Scara3"
"314","Nos3"
"315","Wasl"
"316","Csde1"
"317","Dnm2"
"318","Gpx2"
"319","Sod3"
"320","Prdx5"
"321","Dlg4"
"322","Ccna1"
"323","Ddah1"
"324","Foxm1"
"325","Gss"
"326","Srxn1"
"327","Hsp90aa1"
"328","Gpx1"
"329","Sirt2"
"330","Arg2"
"331","Ttn"
"332","Txnrd2"
"333","Prkg2"
"334","Spr"
"335","Alox12"
"336","Nos1ap"
"337","Duox2"
"338","Prg3"
"339","Nme5"
"340","Akt1"
"341","Scrt2"
"342","Nostrin"
"343","Dynll1"
"344","Nudt1"
"345","Duox1"
"346","Gchfr"
"347","Cygb"
"348","Gla"
"349","Camk1"
"350","Nosip"
"351","Lypla1"
"352","Msra"
"353","Lpo"
"354","Mt3"
"355","Troap"
"356","Sod1"
"357","Prkar1b"
"358","Nos1"
"359","Calm1"
"360","Jun"
"361","Ppp3ca"
"362","Cav1"
"363","Nos2"
"364","Flt1"
"365","Vegfc"
"366","Nox1"
"367","Dusp1"
"368","Il10"
"369","Nqo1"
"370","Myb"
"371","Egfr"
"372","Prdx2"
"373","Cat"
"374","Mbl2"
"375","Kdr"
"376","Prkca"
"377","Prnp"
"378","Cdkn1a"
"379","Abcf1"
"380","Hprt"
"381","Polr1b"
"382","Rplp0"
"383","Ldha"
"384","Gusb"
"385","ADM"
"386","AQP2"
"387","AQP4"
"388","ARNT"
"389","ATF4"
"390","ATF6"
"391","ATF6B"
"392","ATG12"
"393","ATG5"
"394","ATG7"
"395","ATM"
"396","ATR"
"397","BAD"
"398","BAX"
"399","BBC3"
"400","BCL2"
"401","BCL2A1"
"402","BCL2L1"
"403","BECN1"
"404","BID"
"405","BIRC5"
"406","BNIP3L"
"407","CA9"
"408","CASP1"
"409","CASP8"
"410","CCL2"
"411","CD40LG"
"412","CDKN1A"
"413","CFTR"
"414","CHEK1"
"415","CHEK2"
"416","DDB2"
"417","DDIT3"
"418","DNAJC3"
"419","DUOX1"
"420","DUOX2"
"421","EDN1"
"422","EPO"
"423","FAS"
"424","FASLG"
"425","GADD45A"
"426","GADD45G"
"427","GCLC"
